id,question
S0001,What is the risk level of Supplier 1 and what compliance issues have they had?
S0001,What are the key terms of the contract with Supplier 1?
S0001,How has Supplier 1 performed in the past and what is the recommendation for negotiation?
S0001,Has there been any supply chain disruption with Supplier 1 and what are the quality metrics?
S0001,What are the cost metrics for Supplier 1 and how can we adjust the delivery schedules?
S0002,What is the risk level of Supplier 2?
S0002,What are the key terms of the contract with Supplier 2?
S0002,What is the recommendation for negotiation with Supplier 2?
S0002,What is the defect rate of the products supplied by Supplier 2?
S0002,What is the total cost of the products supplied by Supplier 2?
S0003,What is the risk level of Supplier 3?
S0003,What are the key terms of the contract with Supplier 3?
S0003,What is the negotiate recommendation for the contract with Supplier 3?
S0003,What is the defect rate of Supplier 3?
S0003,What is the total cost of the contract with Supplier 3?
S0004,What is the supplier type for Supplier 4?
S0004,What is the risk level associated with Supplier 4?
S0004,What compliance issues has Supplier 4 faced in the past?
S0004,What are the key terms of the contract with Supplier 4?
S0004,What is the total cost of the contract with Supplier 4?
S0005,What is the risk level of Supplier 5 and what compliance issues have they had in the past?
S0005,What are the key terms of the contract with Supplier 5?
S0005,How has Supplier 5 performed in the past and what is the recommendation for negotiation?
S0005,What are the quality metrics for Supplier 5 and do they meet the standards?
S0005,What are the cost metrics for Supplier 5 and what is the total cost?
S0006,What is the risk level of Supplier 6 and what are the compliance issues?
S0006,What are the key terms of the contract with Supplier 6?
S0006,How has Supplier 6 performed in the past and what are the recommendations for negotiation?
S0006,Has there been any supply chain disruption with Supplier 6?
S0006,What are the quality and cost metrics for Supplier 6?
S0007,What is the risk level of Supplier 7 and what compliance issues have they had in the past?
S0007,What are the key terms of the contract with Supplier 7?
S0007,How has Supplier 7 performed in the past and what negotiation recommendations are suggested?
S0007,Have there been any supply chain disruptions involving Supplier 7 and what are their quality metrics?
S0007,What are the cost metrics for Supplier 7 and is there a recommendation to include penalty clauses for late delivery?
S0008,What is the risk level of Supplier 8 and what compliance issues have they had?
S0008,What are the key terms of the contract with Supplier 8?
S0008,How has Supplier 8 performed in the past?
S0008,What recommendations are there for negotiating with Supplier 8?
S0008,What are the quality and cost metrics for Supplier 8?
S0009,What is the risk level of Supplier 9?
S0009,What are the key terms of the contract with Supplier 9?
S0009,How has Supplier 9 performed in the past?
S0009,What is the negotiate recommendation for Supplier 9?
S0009,What is the defect rate of Supplier 9?
S0010,What is the risk level of Supplier 10 and what compliance issues have they had in the past?
S0010,What are the key terms of the contract with Supplier 10?
S0010,How has Supplier 10 performed in the past and what is the recommendation for negotiation?
S0010,What are the quality metrics of Supplier 10 and do they meet the standards?
S0010,What are the cost metrics of Supplier 10 and what is the total cost?
S0011,What is the risk level of Supplier 11 and what compliance issues have they had in the past?
S0011,What are the key terms of the contract with Supplier 11?
S0011,How has Supplier 11 performed in the past and what is the recommendation for negotiation?
S0011,What are the quality metrics of Supplier 11 and do they meet the standards?
S0011,What are the cost metrics of Supplier 11 and what is the total cost?
S0012,What is the risk level of Supplier 12 and what compliance issues have been identified?
S0012,What are the key terms of the contract with Supplier 12?
S0012,How has Supplier 12 performed in the past and what are the recommendations for negotiation?
S0012,Has there been any supply chain disruption with Supplier 12?
S0012,What are the quality and cost metrics for Supplier 12?
S0013,What is the supplier type of Supplier 13?
S0013,What is the risk level associated with Supplier 13?
S0013,What compliance issues has Supplier 13 had in the past?
S0013,What are the key terms of the contract with Supplier 13?
S0013,What is the negotiate recommendation for Supplier 13?
S0014,What is the risk level of Supplier 14?
S0014,What compliance issues has Supplier 14 faced?
S0014,What are the key terms of the contract with Supplier 14?
S0014,How has Supplier 14 performed in the past?
S0014,What is the recommended negotiation strategy for the contract with Supplier 14?
S0015,What is the risk level of Supplier 15 and what compliance issues have they had?
S0015,What are the key terms of the contract with Supplier 15?
S0015,How has Supplier 15 performed in the past and what are the recommendations for negotiation?
S0015,Are there any supply chain disruptions associated with Supplier 15?
S0015,What are the quality and cost metrics for Supplier 15?
S0016,What is the risk level of Supplier 16 and what compliance issues have they had in the past?
S0016,What are the key terms of the contract with Supplier 16?
S0016,How has Supplier 16 performed in the past and what is the recommendation for negotiation?
S0016,Has there been any supply chain disruption with Supplier 16 and what are the quality metrics?
S0016,What are the cost metrics for Supplier 16 and what is the total cost?
S0017,What is the risk level of Supplier 17?
S0017,What compliance issues has Supplier 17 faced?
S0017,What are the key terms of the contract with Supplier 17?
S0017,How has Supplier 17 performed in the past?
S0017,What is the negotiate recommendation for Supplier 17?
S0018,What is the risk level of Supplier 18 and what compliance issues have they had in the past?
S0018,What are the key terms of the contract with Supplier 18?
S0018,How has Supplier 18 performed in the past and what recommendations are there for negotiation?
S0018,Has there been any supply chain disruption with Supplier 18 and what are their quality metrics?
S0018,What are the cost metrics for Supplier 18 and how do they compare to industry standards?
S0019,What is the risk level of Supplier 19?
S0019,What are the key terms of the contract with Supplier 19?
S0019,How is the past performance of Supplier 19?
S0019,What is the negotiate recommendation for Supplier 19?
S0019,What is the defect rate of Supplier 19?
S0020,What is the risk level of Supplier 20 and what compliance issues have been identified?
S0020,What are the key terms of the contract with Supplier 20?
S0020,How has Supplier 20 performed in the past and what recommendations are there for negotiation?
S0020,What are the quality and cost metrics for Supplier 20?
S0020,Has there been any supply chain disruption with Supplier 20?
S0021,What is the supplier type of Supplier 21?
S0021,What is the risk level associated with Supplier 21?
S0021,What are the key terms in the contract with Supplier 21?
