supplier_id,supplier_name,supplier_type,risk_level,compliance_issues,key_terms,past_performance,negotiate_recommendation,supply_chain_disruption,quality_metrics,cost_metrics
S0001,Supplier 1,Retailer,Low,Late Delivery,"30-day payment, 5-day delivery",Fair,Adjust delivery schedules,Yes,"1.37% defect rate, Meets standards","$68.18/unit, $6760.98 total cost"
S0002,Supplier 2,Manufacturer,Medium,,"45-day payment, 10-day delivery",Fair,"Include penalty clauses for late delivery, Adjust delivery schedules",No,"1.01% defect rate, Meets standards","$60.49/unit, $5591.43 total cost"
S0003,Supplier 3,Service Provider,Low,Substandard Quality,"30-day payment, 5-day delivery",Excellent,Include penalty clauses for late delivery,No,"4.08% defect rate, Meets standards","$68.93/unit, $5591.63 total cost"
S0004,Supplier 4,Distributor,Medium,Substandard Quality,"45-day payment, 10-day delivery",Poor,"Adjust delivery schedules, Seek alternative suppliers",No,"4.04% defect rate, Meets standards","$57.64/unit, $5162.73 total cost"
S0005,Supplier 5,Distributor,Medium,Late Delivery,"60-day payment, 7-day delivery",Good,"Seek alternative suppliers, Include penalty clauses for late delivery",No,"2.67% defect rate, Meets standards","$60.48/unit, $6537.87 total cost"
S0006,Supplier 6,Manufacturer,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Good,"Seek alternative suppliers, Include penalty clauses for late delivery, Adjust delivery schedules",Yes,"3.43% defect rate, Meets standards","$61.39/unit, $6771.24 total cost"
S0007,Supplier 7,Manufacturer,Low,Late Delivery,"30-day payment, 5-day delivery",Poor,Include penalty clauses for late delivery,Yes,"1.6% defect rate, Meets standards","$69.21/unit, $6388.75 total cost"
S0008,Supplier 8,Retailer,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Good,"Include penalty clauses for late delivery, Seek alternative suppliers, Adjust delivery schedules",Yes,"4.38% defect rate, Meets standards","$64.15/unit, $6727.62 total cost"
S0009,Supplier 9,Service Provider,Low,,"45-day payment, 10-day delivery",Excellent,Adjust delivery schedules,Yes,"3.48% defect rate, Meets standards","$61.9/unit, $6737.32 total cost"
S0010,Supplier 10,Manufacturer,Low,Late Delivery,"60-day payment, 7-day delivery",Excellent,Seek alternative suppliers,No,"2.41% defect rate, Meets standards","$51.31/unit, $5910.09 total cost"
S0011,Supplier 11,Manufacturer,Low,Late Delivery,"30-day payment, 5-day delivery",Poor,Include compliance monitoring,No,"4.43% defect rate, Meets standards","$54.46/unit, $6436.08 total cost"
S0012,Supplier 12,Distributor,High,Substandard Quality,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"3.84% defect rate, Meets standards","$52.47/unit, $5753.9 total cost"
S0013,Supplier 13,Distributor,Medium,Late Delivery,"30-day payment, 5-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules",No,"2.67% defect rate, Meets standards","$60.22/unit, $5567.93 total cost"
S0014,Supplier 14,Service Provider,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules, Include compliance monitoring",Yes,"2.45% defect rate, Meets standards","$69.82/unit, $6924.27 total cost"
